indicator_key,var_id,indikator,unit,subject,source_domain,kode_wilayah,nama_wilayah,turvar_id,turvar_label,th_id,tahun,turth_id,turth_label,nilai,data_key,last_update
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,432,Perkotaan,124,2024,61,Semester 1 (Maret),9.6,110019243212461,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,432,Perkotaan,124,2024,62,Semester 2 (September),8.37,110019243212462,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,433,Perdesaan,124,2024,61,Semester 1 (Maret),16.75,110019243312461,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,433,Perdesaan,124,2024,62,Semester 2 (September),14.99,110019243312462,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,434,Jumlah,124,2024,61,Semester 1 (Maret),14.23,110019243412461,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1100,ACEH,434,Jumlah,124,2024,62,Semester 2 (September),12.64,110019243412462,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1200,SUMATERA UTARA,432,Perkotaan,124,2024,61,Semester 1 (Maret),7.93,120019243212461,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1200,SUMATERA UTARA,432,Perkotaan,124,2024,62,Semester 2 (September),7.01,120019243212462,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1200,SUMATERA UTARA,433,Perdesaan,124,2024,61,Semester 1 (Maret),8.08,120019243312461,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1200,SUMATERA UTARA,433,Perdesaan,124,2024,62,Semester 2 (September),7.44,120019243312462,2026-02-05 13:03:51
poverty_rate,192,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,Kemiskinan dan Ketimpangan,0000,1200,SUMATERA UTARA,434,Jumlah,124,2024,61,Semester 1 (Maret),7.99,120019243412461,2026-02-05 13:03:51
