indicator_key,var_id,kode_wilayah,th_id,turvar_id,turth_id,data_key,source_domain,nilai,last_update,artifact_path,snapshot_id
poverty_rate,192,1200,124,432,61,120019243212461,0000,7.93,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1200,124,432,62,120019243212462,0000,7.01,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1200,124,433,61,120019243312461,0000,8.08,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1200,124,433,62,120019243312462,0000,7.44,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1200,124,434,61,120019243412461,0000,7.99,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1200,124,434,62,120019243412462,0000,7.19,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,121,432,61,130019243212161,0000,5.3,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,121,432,62,130019243212162,0000,4.83,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,121,433,61,130019243312161,0000,7.91,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,121,433,62,130019243312162,0000,7.23,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,121,434,61,130019243412161,0000,6.63,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,121,434,62,130019243412162,0000,6.04,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1300,122,432,61,130019243212261,0000,4.95,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1300,122,432,62,130019243212262,0000,4.9,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
